timestamp,Temperature,(S1)-SP510,(S2)-SP215
2025-06-03 16:23:35,27.375,87.92673019493141,98.42227945869968
2025-06-03 16:23:36,27.375,75.16703295102512,98.28508557924438
2025-06-03 16:23:37,27.375,68.08774376293383,98.21648629413772
2025-06-03 16:23:38,27.375,68.91654308701605,98.113584434754
2025-06-03 16:23:38,27.375,76.16380590959422,98.07928303316645
2025-06-03 16:23:39,27.375,85.59294907657494,97.97637648302472
2025-06-03 16:23:40,27.375,88.20467287115629,97.70194181653419
2025-06-03 16:23:41,27.375,69.80083122698873,97.66763572418861
2025-06-03 16:23:42,27.375,68.7507661274531,97.4960993990133
2025-06-03 16:23:43,27.375,73.1190770864416,97.53040744584138
2025-06-03 16:23:44,27.375,86.48181101094177,97.35886330273607
2025-06-03 16:23:44,27.375,87.87114450881084,97.29024290921846
2025-06-03 16:23:45,27.375,72.95308359342314,97.18730938721829
2025-06-03 16:23:46,27.375,67.36962386227708,97.08437234714965
2025-06-03 16:23:47,27.375,68.47449018901098,96.91280279577188
2025-06-03 16:23:48,27.375,86.25957273435476,96.91280279577188
2025-06-03 16:23:49,27.375,86.3151308789393,96.77554011853269
2025-06-03 16:23:50,27.312,84.87092777488596,96.63827118694954
2025-06-03 16:23:51,27.312,67.31439051787584,96.53531538384892
2025-06-03 16:23:51,27.312,67.59056673696344,96.50099600102237
2025-06-03 16:23:52,27.25,74.72412151686301,96.3637145607512
2025-06-03 16:23:53,27.25,85.31522958176255,96.26074937613461
2025-06-03 16:23:54,27.25,86.03734965309793,96.12345699076148
2025-06-03 16:23:55,27.187,84.26011203493107,96.05480845269592
2025-06-03 16:23:56,27.187,75.66538096713006,95.98615835104438
2025-06-03 16:23:56,27.187,67.75628386491366,95.9175066858068
2025-06-03 16:23:57,27.187,67.53532959372964,95.71154230857816
2025-06-03 16:23:58,27.187,82.98332318727117,95.67721354423564
2025-06-03 16:23:59,27.187,84.14906697387237,95.53989457790057
2025-06-03 16:24:00,27.125,83.20533733273754,95.47123274935402
2025-06-03 16:24:01,27.125,65.43702188457586,95.36823707481045
2025-06-03 16:24:02,27.125,66.15470966802968,95.26523788219843
2025-06-03 16:24:03,27.187,71.07242137229949,95.12790015283139
2025-06-03 16:24:03,27.125,83.31635010371957,95.05922894276887
2025-06-03 16:24:04,27.125,85.25968853192451,94.95621919595133
2025-06-03 16:24:05,27.125,78.71251255187262,94.85320593106532
2025-06-03 16:24:06,27.125,65.43702188457586,94.7845284666588
2025-06-03 16:24:07,27.062,65.54742494293308,94.64716884708781
2025-06-03 16:24:08,27.062,78.3799585900771,94.54414502799631
2025-06-03 16:24:09,27.062,82.15090547518193,94.54414502799631
2025-06-03 16:24:09,27.062,83.53838704218127,94.37243084491382
2025-06-03 16:24:10,27.062,66.37556896839986,94.26939764430634
2025-06-03 16:24:11,27.062,65.87865691100005,94.23505246231085
2025-06-03 16:24:12,27.0,68.9718039729533,94.20070688941887
2025-06-03 16:24:13,27.0,84.14906697387237,94.06332068888591
2025-06-03 16:24:14,27.0,85.14860928137281,93.92592823400895
2025-06-03 16:24:15,27.0,71.90198995997372,93.822879788438
2025-06-03 16:24:15,26.937,65.71303665327996,93.75417887024155
2025-06-03 16:24:16,26.937,65.65783180012285,93.68547638845907
2025-06-03 16:24:17,26.937,73.56176818831563,93.61677234309063
2025-06-03 16:24:18,26.937,82.98332318727117,93.5137133433142
2025-06-03 16:24:19,26.937,83.98250650509532,93.41065082546926
2025-06-03 16:24:20,26.937,72.89775432849993,93.34194052575683
2025-06-03 16:24:21,26.875,63.8917779449929,93.2388721444644
2025-06-03 16:24:21,26.875,64.49874926640385,93.13580024510348
2025-06-03 16:24:22,26.875,81.26322877657171,93.06708369104706
2025-06-03 16:24:23,26.875,82.0399325919417,92.99836557340463
2025-06-03 16:24:24,26.875,76.77309641827895,92.96400592823866
2025-06-03 16:24:25,26.875,62.78848813376861,92.8265634386098
2025-06-03 16:24:26,26.875,64.60912003468437,92.68911469463696
2025-06-03 16:24:27,26.875,76.60691488304909,92.62038797727153
2025-06-03 16:24:28,26.812,80.87494667243489,92.51729496949969
2025-06-03 16:24:28,26.812,80.09852207125756,92.48292985178271
2025-06-03 16:24:29,26.812,63.22975847226769,92.37983215325285
2025-06-03 16:24:30,26.812,64.05730418160731,92.2767309366545
2025-06-03 16:24:31,26.812,69.57973639900024,92.24236308266205
2025-06-03 16:24:32,26.812,79.98761946641959,92.2079948377731
2025-06-03 16:24:33,26.812,81.70703673521639,92.10488775772727
2025-06-03 16:24:34,26.812,67.36962386227708,92.03614774988087
2025-06-03 16:24:34,26.812,62.23698568437721,91.8986630434301
2025-06-03 16:24:35,26.812,62.67818004622522,91.8299183448257
2025-06-03 16:24:36,26.812,76.05303816331188,91.79554540917874
2025-06-03 16:24:37,26.812,78.9342341872324,91.658049757626
2025-06-03 16:24:38,26.812,78.65708451730303,91.55492391454821
2025-06-03 16:24:39,26.812,61.079139670654286,91.52054785172926
2025-06-03 16:24:40,26.812,63.61591987813164,91.41741731789348
2025-06-03 16:24:40,26.812,72.62112224950594,91.34866167418708
2025-06-03 16:24:41,26.75,78.82337147013622,91.27990446689473
2025-06-03 16:24:42,26.75,79.1559710179224,91.10800460797512
2025-06-03 16:24:43,26.812,61.134265698035904,91.07362346350168
2025-06-03 16:24:44,26.812,61.299649478429565,91.03924192813174
2025-06-03 16:24:45,26.812,61.850990477437456,90.93609497664298
2025-06-03 16:24:46,26.812,80.542170478935,90.90171187768708
2025-06-03 16:24:46,26.812,79.87672066041415,90.69540507512504
2025-06-03 16:24:47,26.812,70.7959459951483,90.66101923989362
2025-06-03 16:24:48,26.812,61.9612700737367,90.55785938882039
2025-06-03 16:24:49,26.812,60.96889046501547,90.48908420028904
2025-06-03 16:24:50,26.812,72.56579868283154,90.38591848576831
2025-06-03 16:24:51,26.812,78.10285640555463,90.317139388272
2025-06-03 16:24:52,26.812,77.714953234965,90.24835872718967
2025-06-03 16:24:52,26.812,60.913767286758286,90.21396781030377
2025-06-03 16:24:53,26.812,62.89880002014455,90.04200736242674
2025-06-03 16:24:54,26.812,73.28507912683334,89.97322044700044
2025-06-03 16:24:55,26.812,79.54404703539322,89.83564192538982
2025-06-03 16:24:56,26.812,79.82127268197365,89.80124631774592
2025-06-03 16:24:57,26.812,64.3332002367941,89.66365997820535
2025-06-03 16:24:58,26.812,60.748403450235514,89.62926241607894
2025-06-03 16:24:58,26.812,64.49874926640385,89.52606738432077
2025-06-03 16:24:59,26.812,78.3799585900771,89.4572687419995
2025-06-03 16:25:00,26.812,78.3799585900771,89.31966676659893
2025-06-03 16:25:01,26.812,73.28507912683334,89.21646118063526
2025-06-03 16:25:02,26.812,60.748403450235514,89.1132520766031
2025-06-03 16:25:03,26.812,60.748403450235514,89.07884826013273
2025-06-03 16:25:04,26.812,65.32662262505119,88.97563446534258
2025-06-03 16:25:04,26.875,78.21369443023922,88.83801059973806
2025-06-03 16:25:05,26.875,78.65708451730303,88.70038047978954
2025-06-03 16:25:06,26.875,64.11248149322839,88.70038047978954
2025-06-03 16:25:07,26.875,60.2523632249067,88.6315630744363
